1948,2
1949,1
1950,2
1952,1
1953,3
1954,3
1955,1
1956,1
1957,1
1958,4
1959,3
1960,3
1961,2
1962,6
1963,7
1964,17
1965,6
1966,6
1967,16
1968,14
1969,12
1970,17
1971,16
1972,26
1973,41
1974,48
1975,31
1976,39
1977,41
1978,63
1979,60
1980,69
1981,84
1982,95
1983,76
1984,108
1985,141
1986,119
1987,145
1988,167
1989,138
1990,153
1991,162
1992,168
1993,142
1994,124
1995,122
1996,124
1997,96
1998,110
1999,129
2000,136
2001,153
2002,177
2003,159
2004,121
2005,152
2006,149
2007,174
2008,149
2009,136
2010,149
2011,144
2012,168
2013,156
2014,157
2015,140
2016,39
