1952,1
1953,3
1954,13
1955,13
1956,27
1957,25
1958,25
1959,17
1960,12
1961,14
1962,24
1963,49
1964,86
1965,55
1966,54
1967,72
1968,102
1969,114
1970,70
1971,85
1972,91
1973,85
1974,104
1975,86
1976,64
1977,76
1978,58
1979,60
1980,58
1981,57
1982,71
1983,67
1984,71
1985,52
1986,47
1987,52
1988,50
1989,48
1990,53
1991,36
1992,41
1993,39
1994,46
1995,38
1996,36
1997,35
1998,31
1999,39
2000,62
2001,57
2002,75
2003,79
2004,66
2005,74
2006,69
2007,75
2008,91
2009,94
2010,107
2011,115
2012,111
2013,118
2014,127
2015,130
2016,43
