1948,1
1949,1
1950,1
1951,1
1952,1
1953,4
1954,1
1955,3
1956,5
1957,5
1958,2
1959,5
1960,3
1961,10
1962,11
1963,7
1964,8
1965,17
1966,21
1967,9
1968,16
1969,16
1970,9
1971,17
1972,9
1973,25
1974,30
1975,16
1976,30
1977,28
1978,29
1979,23
1980,28
1981,30
1982,23
1983,31
1984,36
1985,20
1986,25
1987,29
1988,26
1989,31
1990,25
1991,29
1992,17
1993,30
1994,23
1995,29
1996,39
1997,33
1998,39
1999,32
2000,34
2001,36
2002,39
2003,36
2004,56
2005,61
2006,66
2007,53
2008,57
2009,50
2010,61
2011,84
2012,84
2013,105
2014,93
2015,85
2016,26
