Canada,419
BD,1
BA,5
BL,1
BM,3
Lithuania,6
BJ,1
JM,1
BV,1
BR,2
CR,1
Argentina,45
BZ,1
Bahrain,2
LV,1
RS,10
Japan,534
KY,5
Slovenia,8
Guatemala,2
GI,14
Jordan,8
Spain,411
SAU,1
Netherlands,413
GR,2
Jamaica,5
Oman,4
GE,2
GD,1
GB,4
GA,18
Yemen,1
Jersey,20
GH,1
Pakistan,11
India,222
TC,2
Kenya,3
Turkey,206
Bangladesh,8
Eritrea,1
Mongolia,1
France,622
Slovakia,4
Peru,6
HM,1
Norway,72
Malawi,1
PR,23
PW,1
Singapore,48
Montenegro,3
PA,111
China,178
PG,1
PE,2
PH,1
PL,3
PM,1
Ukraine,4
AFG,1
Libya,2
Finland,100
ZA,2
Sweden,159
Belarus,1
AO,3
NL,1
Taiwan,79
Bulgaria,6
ME,2
MD,95
Romania,11
MF,1
MA,93
Portugal,71
UZ,6
ML,1
MO,41
MN,149
MH,2
US,4
UM,1
Malaysia,16
Austria,135
Latvia,5
MS,16
Hungary,58
MY,1
VU,37
Brazil,201
Kuwait,21
Panama,1
Morocco,3
Guadeloupe,1
Ireland,48
FI,1
Nigeria,4
Ecuador,1
Australia,271
Iran,106
Algeria,1
NO,1
NC,57
NE,6
NG,1
Chile,54
Belgium,207
Thailand,37
Iraq,3
Philippines,3
Georgia,27
CO,12
Brasil,35
CM,2
CL,1
Denmark,135
CA,138
CG,1
MG,7
Moldova,1
NP,1
CX,1
Croatia,17
CUB,1
Switzerland,149
Grenada,2
HU,1
KG,1
MC,28
Estonia,2
Uruguay,1
SR,2
KH,2
Lebanon,16
SV,1
KM,1
ST,1
SK,1
Egypt,51
SH,1
SN,2
Colombia,12
SL,1
SC,8
SA,14
Cyprus,2
SE,4
Qatar,1
DM,1
Italy,654
DK,1
USA,1989
Sudan,2
DE,3
Malta,2
CH,4
Venezuela,8
CN,1
Israel,151
Indonesia,1
LA,13
Iceland,5
SOM,1
Senegal,1
LI,1
TN,24
Germany,790
Martinique,1
TD,1
Kazakhstan,1
Poland,153
VA,32
UK,835
AG,7
Mayotte,1
VI,7
IR,3
AM,24
AL,14
Macedonia,4
AR,4
LVA,1
IL,74
AW,6
IN,15
FJ,1
AZ,26
Nepal,1
Mexico,95
Tunisia,19
Cuba,7
Serbia,24
Uganda,1
Greece,137
Paraguay,3
