1937,1
1945,1
1947,4
1948,6
1949,8
1950,17
1951,68
1952,131
1953,132
1954,128
1955,136
1956,114
1957,82
1958,71
1959,40
1960,17
1961,14
1962,21
1963,22
1964,24
1965,27
1966,24
1967,26
1968,36
1969,29
1970,35
1971,33
1972,27
1973,23
1974,21
1975,43
1976,43
1977,72
1978,50
1979,47
1980,46
1981,62
1982,61
1983,62
1984,64
1985,59
1986,67
1987,67
1988,78
1989,96
1990,75
1991,103
1992,100
1993,118
1994,123
1995,112
1996,140
1997,118
1998,132
1999,149
2000,166
2001,203
2002,202
2003,211
2004,243
2005,258
2006,292
2007,301
2008,299
2009,315
2010,464
2011,496
2012,463
2013,511
2014,543
2015,587
2016,145
