1949,1
1951,1
1953,1
1956,1
1958,1
1959,1
1961,1
1964,2
1965,14
1966,41
1967,57
1968,96
1969,79
1970,102
1971,80
1972,91
1973,108
1974,132
1975,83
1976,87
1977,105
1978,89
1979,95
1980,100
1981,93
1982,121
1983,96
1984,122
1985,124
1986,142
1987,155
1988,158
1989,213
1990,250
1991,293
1992,260
1993,337
1994,304
1995,277
1996,283
1997,193
1998,248
1999,191
2000,200
2001,202
2002,203
2003,207
2004,207
2005,211
2006,238
2007,203
2008,239
2009,234
2010,262
2011,271
2012,276
2013,278
2014,308
2015,262
2016,67
