1949,3
1950,5
1951,5
1952,25
1953,105
1954,123
1955,117
1956,128
1957,170
1958,141
1959,137
1960,130
1961,118
1962,168
1963,269
1964,324
1965,222
1966,257
1967,231
1968,292
1969,277
1970,277
1971,317
1972,327
1973,298
1974,299
1975,299
1976,257
1977,283
1978,233
1979,258
1980,274
1981,221
1982,231
1983,203
1984,189
1985,189
1986,151
1987,119
1988,84
1989,75
1990,87
1991,51
1992,59
1993,55
1994,48
1995,53
1996,49
1997,35
1998,46
1999,38
2000,26
2001,37
2002,35
2003,25
2004,28
2005,32
2006,30
2007,31
2008,38
2009,27
2010,38
2011,25
2012,35
2013,23
2014,29
2015,17
2016,5
