1973,1
1974,2
1975,14
1976,16
1977,10
1978,18
1979,13
1980,16
1981,16
1982,17
1983,18
1984,22
1985,27
1986,36
1987,38
1988,66
1989,68
1990,74
1991,78
1992,69
1993,104
1994,107
1995,98
1996,127
1997,117
1998,118
1999,126
2000,121
2001,120
2002,122
2003,131
2004,155
2005,144
2006,114
2007,115
2008,113
2009,112
2010,110
2011,116
2012,89
2013,108
2014,100
2015,101
2016,33
